placename,sentence,model
Aill an Phúca,Tá an caisleán álainn i gCaisleán Aircín.,claude-3-haiku-20240307
Teach an tSalainn,Tá Teach an tSalainn lonnaithe in aice leis an trá.,claude-3-haiku-20240307
Aill an Chlogáis,Téann muid go hiondúil go hAill an Chlogáis le linn an tsamhraidh.,claude-3-haiku-20240307
Sruthán Áth na Circe,Thug muid cuairt ar Shruthán Áth na Circe le linn na saoire.,claude-3-haiku-20240307
Aill an Bhlácaigh,Bíonn daoine ag spaisteoireacht in Aill an Bhlácaigh gach lá.,claude-3-haiku-20240307
An Aill Bhuí,Rachaidh mé chun snámha in Aill Bhuí sa samhradh.,claude-3-haiku-20240307
An Eatharla,Tháinig muid go Baile an Dúna le haghaidh an fhéile.,claude-3-haiku-20240307
Thuaidh,Rachaidh mé suas go Thuaidh ag deireadh na seachtaine.,claude-3-haiku-20240307
An Aill Mhór,Tá sé ar intinn ag an Údarás Áitiúil feabhas a chur ar bhóithre agus sráideanna An Aill Mhór.,claude-3-haiku-20240307
Aill na mBairneach,Cuireann muid turas go hAill na mBairneach ar fáil do chuairteoirí.,claude-3-haiku-20240307
Aill na mBairneach,Tháinig muid go Baile an Dúna le haghaidh an fhéile.,claude-3-haiku-20240307
Aill an Fhéir,Bíonn na hairgint ar fáil ar Aill an Fhéir sa samhradh.,claude-3-haiku-20240307
Carraig an Ancaire,Tá cuid mhaith daoine ag siúl ar Charraig an Ancaire gach lá.,claude-3-haiku-20240307
An Ceann,Rachaidh mé go dtí An Ceann chun siúl an trá.,claude-3-haiku-20240307
Aill an Ára Thoir,Oireann Aill an Ára Thoir go maith do shleamhnú aonair.,claude-3-haiku-20240307
Oileáin na hEanaí,Tá na héin áille ag eitilt timpeall Oileáin na hEanaí.,claude-3-haiku-20240307
Eanach Bhéal Abhna,Rachaidh mé go dtí Eanach Bhéal Abhna ar cuairt ar mo chairde.,claude-3-haiku-20240307
Baile Mheiriceá,Tá Baile Mheiriceá an-cháiliúil d'imeachtaí cultúrtha.,claude-3-haiku-20240307
Baile an Tobair,Bíonn margadh traidisiúnta gach Satharn i mBaile an Tobair.,claude-3-haiku-20240307
Caisleán Eanach Dhúin,Bíonn roinnt turaithe ag tabhairt cuairte ar Chaisleán Eanach Dhúin gach samhradh.,claude-3-haiku-20240307
Chalaidh,Bíonn na hiascairí ag gabháil chuig Chalaidh gach lá.,claude-3-haiku-20240307
Oileáin Eanach Dhúin,Tugann na turasóirí cuairt ar Oileáin Eanach Dhúin gach samhradh.,claude-3-haiku-20240307
Oileán Ghort an,Rachaidh mé ag siúl timpeall Oileán Ghort an an samhradh seo.,claude-3-haiku-20240307
Carraig na nÚll,Tógfar ionad ealaíne nua i gCarraig na nÚll an bhliain seo chugainn.,claude-3-haiku-20240307
Cuan na hAirde,Tá cabhair ón Údarás Áitiúil chun feabhas a chur ar na saoráidí in Cuan na hAirde.,claude-3-haiku-20240307
Caisleán na hAirde,Tá Caisleán na hAirde ina chuid lárnach de sheoda na háite.,claude-3-haiku-20240307
Céibh Eanach Dhúin,Bíonn na báid ag teacht chuig Céibh Eanach Dhúin le linn an tsamhraidh.,claude-3-haiku-20240307
Carraig na hAirde,Tá Carraig na hAirde ina suíomh ildánach le haghaidh caitheamh aimsire.,claude-3-haiku-20240307
Eanach Míonóige,Chuaigh mé go minic go hEanach Míonóige ar saoire leis an teaghlach.,claude-3-haiku-20240307
Loch na nArd-doiriú,Tá go leor daoine ag campáil in aice Loch na nArd-doiriú le linn an tsamhraidh.,claude-3-haiku-20240307
Cora na hAirde Móire,Tógtar foirgnimh nua i gCora na hAirde Móire le déanaí.,claude-3-haiku-20240307
Carraig Ardoileáin,Reáchtáiltear féile na ndaoine óga i gCarraig Ardoileáin gach Mí Lúnasa.,claude-3-haiku-20240307
Carraigeacha Chora na,Beidh ceolchoirm ar siúl sna Carraigeacha Chora na an Satharn seo.,claude-3-haiku-20240307
Leac na gCarrachán,Tá an t-ardán don chór suite ar Leac na gCarrachán.,claude-3-haiku-20240307
Caisleán Aircín,Dúnfar Caisleán Aircín don phobal i rith na míosa seo.,claude-3-haiku-20240307
hAirde Móire,Déanfaidh mé ceolchoirm speisialta in hAirde Móire an Nollaig seo.,claude-3-haiku-20240307
Loch an Átha Buí,Beidh ceolchoirm speisialta ar siúl ag Loch an Átha Buí an samhradh seo.,claude-3-haiku-20240307
Áit an Chuain,Beidh muid ag iascaireacht in Áit an Chuain an deireadh seachtaine seo.,claude-3-haiku-20240307
Áit an Chnáimhín,Tá cuid mhaith eachtraí spóirt ar siúl i dteach Áit an Chnáimhín i rith na bliana.,claude-3-haiku-20240307
Áth an Chnoic Mhóir,Bíonn an baile i Áth an Chnoic Mhóir an-ghnóthach ag am na feirme.,claude-3-haiku-20240307
